name,id,description
Área de Relevante Interesse Ecológico Cambeba,5649,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Parque Estadual Caminho dos Gerais,4822,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Caminhos Ecológicos da Boa Esperança,3565,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva de Desenvolvimento Sustentável Campina,6104,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Parque Estadual Campina do Encantado,850,nature reserve in Brazil (Parque Estadual)
Parque Estadual Campinhos,2240,nature reserve in Brazil (Parque Estadual)
Reserva de Desenvolvimento Sustentável Campo das Mangabas,5380,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Parque Estadual Campos Altos,5522,nature reserve in Brazil (Parque Estadual)
Parque Nacional Campos Amazônicos,4483,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Campos de Manicoré,5432,nature reserve in Brazil (Área de Proteção Ambiental)
Refúgio de Vida Silvestre Campos de Palmas,4471,nature reserve in Brazil (Refúgio de Vida Silvestre)
Área de Proteção Ambiental Campos do Jordão (APA),972,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Estadual Campos do Jordão (PES),1063,nature reserve in Brazil (Parque Estadual)
Parque Nacional Campos Ferruginosos,5447,nature reserve in Brazil (Parque Nacional)
Parque Nacional Campos Gerais,4457,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Cananéia - Iguape - Peruíbe,967,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva Extrativista Canavieiras,4481,nature reserve in Brazil (Reserva Extrativista)
Floresta Nacional Canela,1290,nature reserve in Brazil (Floresta Nacional)
Reserva Biológica Canela Preta,1153,nature reserve in Brazil (Reserva Biológica)
Parque Estadual Cânion Cearense do Rio Poti,6068,nature reserve in Brazil (Parque Estadual)
Parque Estadual Cânion do Rio Poti,3058,nature reserve in Brazil (Parque Estadual)
Monumento Natural Canions do Subaé,5497,nature reserve in Brazil (Monumento Natural)
Refúgio de Vida Silvestre Canjerana,3096,nature reserve in Brazil (Refúgio de Vida Silvestre)
Parque Estadual Cantão,1407,nature reserve in Brazil (Parque Estadual)
Parque Estadual Cantareira,5002,nature reserve in Brazil (Parque Estadual)
Parque Estadual Canudos,2083,nature reserve in Brazil (Parque Estadual)
Reserva de Desenvolvimento Sustentável Canumã,4333,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva Extrativista Canutama,5053,nature reserve in Brazil (Reserva Extrativista)
Floresta Estadual Canutama,5054,nature reserve in Brazil (Floresta Estadual)
Floresta Nacional Capão Bonito,1298,nature reserve in Brazil (Floresta Nacional)
Parque Nacional Caparaó,999,nature reserve in Brazil (Parque Nacional)
Área de Relevante Interesse Ecológico Capetinga-Taquara,1306,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Estação Ecológica Caracaraí,602,nature reserve in Brazil (Estação Ecológica)
Parque Estadual Caracol,2293,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Caraíva/Trancoso,1206,nature reserve in Brazil (Área de Proteção Ambiental)
Floresta Nacional Carajás,1330,nature reserve in Brazil (Floresta Nacional)
Estação Ecológica Carijós,1102,nature reserve in Brazil (Estação Ecológica)
Área de Proteção Ambiental Cariri,4700,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Estadual Carlos Botelho,878,nature reserve in Brazil (Parque Estadual)
Parque Estadual Carnaúbas,5512,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Carste de Lagoa Santa,1108,nature reserve in Brazil (Área de Proteção Ambiental)
Monumento Natural Casa de Pedra,6074,nature reserve in Brazil (Monumento Natural)
Reserva Extrativista Cassurubá,4778,nature reserve in Brazil (Reserva Extrativista)
Estação Ecológica Castanhão,2885,nature reserve in Brazil (Estação Ecológica)
Reserva Extrativista Castanheira,3033,nature reserve in Brazil (Reserva Extrativista)
Parque Nacional Catimbau,3462,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Catolé e de Fernão Velho,1050,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva Extrativista Catuá-Ipixuna,3551,nature reserve in Brazil (Reserva Extrativista)
Parque Estadual Caverna do Diabo,4928,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Caverna do Maroaga (Presidente Figueiredo),790,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Cavernas do Peruaçu (APA),951,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Nacional Cavernas do Peruaçu (PARNA),2562,nature reserve in Brazil (Parque Nacional)
Parque Estadual Caxambu (PR),2241,nature reserve in Brazil (Parque Estadual)
Floresta Nacional Caxiuanã,640,nature reserve in Brazil (Floresta Nacional)
Reserva Extrativista Cazumbá-Iracema,3412,nature reserve in Brazil (Reserva Extrativista)
Floresta Estadual de Rendimento Sustentado Cedro,3038,nature reserve in Brazil (Floresta Estadual de Rendimento Sustentado)
CEC Central da Amazônia,5119,nature reserve in Brazil (CEC)
Monumento Natural Centro Geodésico da América Latina,5629,nature reserve in Brazil (Monumento Natural)
Estação Ecológica Cercadinho,2837,nature reserve in Brazil (Estação Ecológica)
Parque Estadual Cerca Grande,5555,nature reserve in Brazil (Parque Estadual)
Reserva Biológica Cerradão,2955,nature reserve in Brazil (Reserva Biológica)
Parque Estadual Cerrado,1185,nature reserve in Brazil (Parque Estadual)
Reserva Biológica de Uso Sustentável Florestal Cerrado do Distrito Federal,3128,nature reserve in Brazil (Reserva Biológica de Uso Sustentável Florestal)
Área de Relevante Interesse Ecológico Cerrado Pé de Gigante,1166,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Parque Estadual Chácara da Baronesa,903,nature reserve in Brazil (Parque Estadual)
Parque Estadual Chacrinha (PES),2107,nature reserve in Brazil (Parque Estadual)
Parque Estadual Chandless,3556,nature reserve in Brazil (Parque Estadual)
Estação Ecológica Chapada da Serra Branca,5650,nature reserve in Brazil (Estação Ecológica)
Parque Nacional Chapada das Mesas,4417,nature reserve in Brazil (Parque Nacional)
Estação Ecológica Chapada de Nova Roma,5645,nature reserve in Brazil (Estação Ecológica)
Parque Nacional Chapada Diamantina,978,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Chapada do Araripe,1194,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Nacional Chapada dos Guimarães,599,nature reserve in Brazil (Parque Nacional)
Área de Proteção Ambiental Chapada dos Guimarães,1142,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Nacional Chapada dos Veadeiros,1277,nature reserve in Brazil (Parque Nacional)
Reserva Extrativista Chapada Limpa,4776,nature reserve in Brazil (Reserva Extrativista)
Floresta Nacional Chapecó,1294,nature reserve in Brazil (Floresta Nacional)
Parque Estadual Charapucu,5130,nature reserve in Brazil (Parque Estadual)
Estação Ecológica Chauás,965,nature reserve in Brazil (Estação Ecológica)
Reserva Extrativista Chico Mendes,626,nature reserve in Brazil (Reserva Extrativista)
Reserva Extrativista Chocoaré - Mato Grosso,3468,nature reserve in Brazil (Reserva Extrativista)
Reserva Biológica de Uso Sustentável Florestal Cinturão Verde,6089,nature reserve in Brazil (Reserva Biológica de Uso Sustentável Florestal)
Reserva Extrativista Ciriaco,630,nature reserve in Brazil (Reserva Extrativista)
Área de Proteção Ambiental Cochá e Gibão,5065,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva Biológica Comboios,982,nature reserve in Brazil (Reserva Biológica)
Área de Proteção Ambiental Conceição da Barra,2894,nature reserve in Brazil (Área de Proteção Ambiental)
Reserva de Desenvolvimento Sustentável Concha dOstra,5641,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva Biológica Contagem,3461,nature reserve in Brazil (Reserva Biológica)
Floresta Nacional Contendas do Sincorá,2560,nature reserve in Brazil (Floresta Nacional)
Refúgio de Vida Silvestre Corixão da Mata Azul,2778,nature reserve in Brazil (Refúgio de Vida Silvestre)
Área de Proteção Ambiental Coroa Vermelha (APA),1017,nature reserve in Brazil (Área de Proteção Ambiental)
Floresta Estadual Córrego da Biquinha,1182,nature reserve in Brazil (Floresta Estadual)
Área de Relevante Interesse Ecológico Córrego da Cabeceira do Valo,5491,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Reserva Biológica Córrego do Veado,853,nature reserve in Brazil (Reserva Biológica)
Reserva Biológica Córrego Grande (REBIO),866,nature reserve in Brazil (Reserva Biológica)
Área de Relevante Interesse Ecológico Córrego Mato Grande,5493,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Estação Ecológica Corumbá,2130,nature reserve in Brazil (Estação Ecológica)
"Área de Proteção Ambiental Corumbatai, Botucatu e Tejupá",884,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Estadual Corumbiara,829,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Costa das Algas,5144,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Costa de Itacaré/Serra Grande,1202,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Costa dos Corais,1289,nature reserve in Brazil (Área de Proteção Ambiental)
Parque Estadual Costa do Sol,5207,nature reserve in Brazil (Parque Estadual)
Floresta Nacional Crepori,4444,nature reserve in Brazil (Floresta Nacional)
Parque Estadual Cristalino,1375,nature reserve in Brazil (Parque Estadual)
Parque Estadual Cristalino II,1391,nature reserve in Brazil (Parque Estadual)
Floresta Nacional Cristópolis,2681,nature reserve in Brazil (Floresta Nacional)
Área de Relevante Interesse Ecológico Cruls,5490,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Reserva de Desenvolvimento Sustentável Cujubim,3550,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Reserva Biológica Culuene,778,nature reserve in Brazil (Reserva Biológica)
Parque Estadual Cunhambebe,4975,nature reserve in Brazil (Parque Estadual)
Estação Ecológica Cuniã,1404,nature reserve in Brazil (Estação Ecológica)
Estação Ecológica Curral do Meio,5484,nature reserve in Brazil (Estação Ecológica)
Reserva Extrativista Curralinho,1321,nature reserve in Brazil (Reserva Extrativista)
Reserva Extrativista Cururupu,4239,nature reserve in Brazil (Reserva Extrativista)
