name,ID,Description
RDS Canumã,4333,nature reserve in Brazil (RDS)
RESEX Canutama,5053,nature reserve in Brazil (RESEX)
FES Canutama,5054,nature reserve in Brazil (FES)
FLONA Capão Bonito,1298,nature reserve in Brazil (FLONA)
PARNA Caparaó,999,nature reserve in Brazil (PARNA)
ARIE Capetinga-Taquara,1306,nature reserve in Brazil (ARIE)
ESEC Caracaraí,602,nature reserve in Brazil (ESEC)
PES Caracol,2293,nature reserve in Brazil (PES)
APA Caraíva/Trancoso,1206,nature reserve in Brazil (APA)
FLONA Carajás,1330,nature reserve in Brazil (FLONA)
ESEC Carijós,1102,nature reserve in Brazil (ESEC)
APA Cariri,4700,nature reserve in Brazil (APA)
PES Carlos Botelho,878,nature reserve in Brazil (PES)
PES Carnaúbas,5512,nature reserve in Brazil (PES)
APA Carste de Lagoa Santa,1108,nature reserve in Brazil (APA)
MONAT Casa de Pedra,6074,nature reserve in Brazil (MONAT)
RESEX Cassurubá,4778,nature reserve in Brazil (RESEX)
ESEC Castanhão,2885,nature reserve in Brazil (ESEC)
RESEX Castanheira,3033,nature reserve in Brazil (RESEX)
PARNA Catimbau,3462,nature reserve in Brazil (PARNA)
APA Catolé e de Fernão Velho,1050,nature reserve in Brazil (APA)
RESEX Catuá-Ipixuna,3551,nature reserve in Brazil (RESEX)
PES Caverna do Diabo,4928,nature reserve in Brazil (PES)
APA Caverna do Maroaga (Presidente Figueiredo),790,nature reserve in Brazil (APA)
APA Cavernas do Peruaçu (APA),951,nature reserve in Brazil (APA)
PARNA Cavernas do Peruaçu (PARNA),2562,nature reserve in Brazil (PARNA)
PES Caxambu (PR),2241,nature reserve in Brazil (PES)
FLONA Caxiuanã,640,nature reserve in Brazil (FLONA)
RESEX Cazumbá-Iracema,3412,nature reserve in Brazil (RESEX)
FERS Cedro,3038,nature reserve in Brazil (FERS)
CEC Central da Amazônia,5119,nature reserve in Brazil (CEC)
MONAT Centro Geodésico da América Latina,5629,nature reserve in Brazil (MONAT)
ESEC Cercadinho,2837,nature reserve in Brazil (ESEC)
PES Cerca Grande,5555,nature reserve in Brazil (PES)
REBIO Cerradão,2955,nature reserve in Brazil (REBIO)
PES Cerrado,1185,nature reserve in Brazil (PES)
RBIOSF Cerrado do Distrito Federal,3128,nature reserve in Brazil (RBIOSF)
ARIE Cerrado Pé de Gigante,1166,nature reserve in Brazil (ARIE)
PES Chácara da Baronesa,903,nature reserve in Brazil (PES)
PES Chacrinha (PES),2107,nature reserve in Brazil (PES)
PES Chandless,3556,nature reserve in Brazil (PES)
ESEC Chapada da Serra Branca,5650,nature reserve in Brazil (ESEC)
PARNA Chapada das Mesas,4417,nature reserve in Brazil (PARNA)
ESEC Chapada de Nova Roma,5645,nature reserve in Brazil (ESEC)
PARNA Chapada Diamantina,978,nature reserve in Brazil (PARNA)
APA Chapada do Araripe,1194,nature reserve in Brazil (APA)
PARNA Chapada dos Guimarães,599,nature reserve in Brazil (PARNA)
APA Chapada dos Guimarães,1142,nature reserve in Brazil (APA)
PARNA Chapada dos Veadeiros,1277,nature reserve in Brazil (PARNA)
RESEX Chapada Limpa,4776,nature reserve in Brazil (RESEX)
FLONA Chapecó,1294,nature reserve in Brazil (FLONA)
PES Charapucu,5130,nature reserve in Brazil (PES)
ESEC Chauás,965,nature reserve in Brazil (ESEC)
RESEX Chico Mendes,626,nature reserve in Brazil (RESEX)
RESEX Chocoaré - Mato Grosso,3468,nature reserve in Brazil (RESEX)
RBIOSF Cinturão Verde,6089,nature reserve in Brazil (RBIOSF)
RESEX Ciriaco,630,nature reserve in Brazil (RESEX)
APA Cochá e Gibão,5065,nature reserve in Brazil (APA)
REBIO Comboios,982,nature reserve in Brazil (REBIO)
APA Conceição da Barra,2894,nature reserve in Brazil (APA)
RDS Concha dOstra,5641,nature reserve in Brazil (RDS)
REBIO Contagem,3461,nature reserve in Brazil (REBIO)
FLONA Contendas do Sincorá,2560,nature reserve in Brazil (FLONA)
RVS Corixão da Mata Azul,2778,nature reserve in Brazil (RVS)
APA Coroa Vermelha (APA),1017,nature reserve in Brazil (APA)
FES Córrego da Biquinha,1182,nature reserve in Brazil (FES)
ARIE Córrego da Cabeceira do Valo,5491,nature reserve in Brazil (ARIE)
REBIO Córrego do Veado,853,nature reserve in Brazil (REBIO)
REBIO Córrego Grande (REBIO),866,nature reserve in Brazil (REBIO)
ARIE Córrego Mato Grande,5493,nature reserve in Brazil (ARIE)
ESEC Corumbá,2130,nature reserve in Brazil (ESEC)
"APA Corumbatai, Botucatu e Tejupá",884,nature reserve in Brazil (APA)
PES Corumbiara,829,nature reserve in Brazil (PES)
APA Costa das Algas,5144,nature reserve in Brazil (APA)
APA Costa de Itacaré/Serra Grande,1202,nature reserve in Brazil (APA)
APA Costa dos Corais,1289,nature reserve in Brazil (APA)
PES Costa do Sol,5207,nature reserve in Brazil (PES)
FLONA Crepori,4444,nature reserve in Brazil (FLONA)
PES Cristalino,1375,nature reserve in Brazil (PES)
PES Cristalino II,1391,nature reserve in Brazil (PES)
FLONA Cristópolis,2681,nature reserve in Brazil (FLONA)
ARIE Cruls,5490,nature reserve in Brazil (ARIE)
RDS Cujubim,3550,nature reserve in Brazil (RDS)
REBIO Culuene,778,nature reserve in Brazil (REBIO)
PES Cunhambebe,4975,nature reserve in Brazil (PES)
ESEC Cuniã,1404,nature reserve in Brazil (ESEC)
ESEC Curral do Meio,5484,nature reserve in Brazil (ESEC)
RESEX Curralinho,1321,nature reserve in Brazil (RESEX)
RESEX Cururupu,4239,nature reserve in Brazil (RESEX)
PES Delta do Jacuí,2294,nature reserve in Brazil (PES)
APA Delta do Jacuí,5227,nature reserve in Brazil (APA)
APA Delta do Parnaíba (Federal),1150,nature reserve in Brazil (APA)
APA Delta do Rio Parnaíba,3500,nature reserve in Brazil (APA)
PARNA Descobrimento,2518,nature reserve in Brazil (PARNA)
PES Desengano (PES),2182,nature reserve in Brazil (PES)
RDS Despraiado,4767,nature reserve in Brazil (RDS)
PES Dois Irmãos,1225,nature reserve in Brazil (PES)
MONAT Dom Bosco,4991,nature reserve in Brazil (MONAT)
PES Dom Osório Stoffel,3451,nature reserve in Brazil (PES)
REBIO Duas Bocas,1034,nature reserve in Brazil (REBIO)
APA Dunas da Lagoinha,2804,nature reserve in Brazil (APA)
PES Dunas de Natal,2011,nature reserve in Brazil (PES)
APA Dunas de Paracuru,2803,nature reserve in Brazil (APA)
APA Dunas do Litoral Oeste (Pecém),2797,nature reserve in Brazil (APA)
APA Dunas do Rosado,6063,nature reserve in Brazil (APA)
APA Dunas e Veredas do Baixo-Médio São Francisco,2882,nature reserve in Brazil (APA)
FES Edmundo Navarro de Andrade,2945,nature reserve in Brazil (FES)
PARNA Emas,1276,nature reserve in Brazil (PARNA)
APA Encantado,5485,nature reserve in Brazil (APA)
PES Encontro das Águas,4253,nature reserve in Brazil (PES)
RVS Engenho Moreninho,5532,nature reserve in Brazil (RVS)
APA Escarpa Devoniana,3448,nature reserve in Brazil (APA)
PES Espigão Alto,2295,nature reserve in Brazil (PES)
PES Espinilho,2296,nature reserve in Brazil (PES)
REBIO Estação Experimental de Pindorama,859,nature reserve in Brazil (REBIO)
APA Estrada-Parque de Piraputanga,3063,nature reserve in Brazil (APA)
APA Estuário do Rio Ceará,2801,nature reserve in Brazil (APA)
APA Estuário do Rio Curú,2799,nature reserve in Brazil (APA)
APA Estuário do Rio Mundaú,2802,nature reserve in Brazil (APA)
MONAT Experiência da Jaguara,5501,nature reserve in Brazil (MONAT)
RESEX Extremo Norte do Tocantins,631,nature reserve in Brazil (RESEX)
MONAT Falésias de Beberibe,5498,nature reserve in Brazil (MONAT)
FES Faro,4640,nature reserve in Brazil (FES)
REBIO Fazenda Experimental de Zootecnia de Sertãozinho,858,nature reserve in Brazil (REBIO)
ARIE Fazenda Raposa,6071,nature reserve in Brazil (ARIE)
APA Fazendinha,809,nature reserve in Brazil (APA)
ESEC Fechos,2546,nature reserve in Brazil (ESEC)
ESEC Fernandes Pinheiro,2899,nature reserve in Brazil (ESEC)
APA Fernando de Noronha - Rocas - São Pedro e São Paulo,952,nature reserve in Brazil (APA)
APA Fernão Dias,2819,nature reserve in Brazil (APA)
PES Florêncio Luciano,2012,nature reserve in Brazil (PES)
ARIE Floresta da Cicuta,2003,nature reserve in Brazil (ARIE)
PES Fonte Grande,1019,nature reserve in Brazil (PES)
PES Fontes do Ipiranga,1077,nature reserve in Brazil (PES)
PES Forno Grande (PES),2162,nature reserve in Brazil (PES)
APA Foz do Rio das Preguiças,784,nature reserve in Brazil (APA)
APA Foz do Rio Santa Teresa,2962,nature reserve in Brazil (APA)
APA Frades,2171,nature reserve in Brazil (APA)
RESEX Freijó,3032,nature reserve in Brazil (RESEX)
PES Fritz Plaumann,3567,nature reserve in Brazil (PES)
PARNA Furna Feia,5303,nature reserve in Brazil (PARNA)
PES Furnas do Bom Jesus,928,nature reserve in Brazil (PES)
REBIO Gama,2531,nature reserve in Brazil (REBIO)
RVS Garça Branca,3092,nature reserve in Brazil (RVS)
RESEX Garrote,3031,nature reserve in Brazil (RESEX)
RVS Gatumé,6082,nature reserve in Brazil (RVS)
FERS Gavião,3020,nature reserve in Brazil (FERS)
APA Gericinó/Mendanha,2172,nature reserve in Brazil (APA)
ARIE Goiamunduba,2898,nature reserve in Brazil (ARIE)
FLONA Goytacazes,3455,nature reserve in Brazil (FLONA)
PES Graciosa,1189,nature reserve in Brazil (PES)
PES Grajaú,2195,nature reserve in Brazil (PES)
PARNA Grande Sertão Veredas,943,nature reserve in Brazil (PARNA)
